54.250.143.140:443#JP [75.69ms]
3.112.34.29:443#JP [76.67ms]
8.222.185.236:443#JP [优选高速 78.51ms]
54.238.236.208:443#JP [优选高速 78.99ms]
13.193.106.143:443#JP [优选高速 85.92ms]
23.249.17.25:443#JP [87.28ms]
38.54.4.209:443#KH [233.35ms]
123.111.169.70:8443#KR [82.78ms]
123.111.169.70:2087#KR [优选高速 84.28ms]
123.111.169.70:2096#KR [91.24ms]
123.111.169.70:443#KR [优选高速 92.58ms]
123.111.169.70:2083#KR [优选高速 92.61ms]
123.111.169.70:2053#KR [优选高速 92.7ms]
43.155.221.27:8443#KR [206.66ms]
43.164.191.65:8443#KR [211.06ms]
85.155.176.11:8443#KR [228.32ms]
43.133.237.158:8443#KR [232.76ms]
213.155.29.242:443#KZ [196.14ms]
5.39.253.54:443#KZ [211.82ms]
195.210.47.233:8443#KZ [213.66ms]
185.5.74.129:443#KZ [217.05ms]
104.238.24.247:443#KZ [217.25ms]
194.110.54.219:443#KZ [228.75ms]
5.39.253.245:443#KZ [229.71ms]
94.247.128.245:443#KZ [229.72ms]
94.131.92.95:443#KZ [239.72ms]
104.238.24.75:443#KZ [240.79ms]
185.80.129.84:443#LT [194.14ms]
5.199.173.184:443#LT [205.56ms]
130.12.171.63:443#LT [205.65ms]
130.12.171.96:8443#LT [215.15ms]
185.80.128.115:8443#LT [226.12ms]
195.238.126.11:443#LT [263.87ms]
130.12.171.173:443#LT [275.18ms]
5.199.162.130:443#LT [276.69ms]
89.40.2.194:443#LT [281.74ms]
80.208.227.162:443#LT [295.15ms]
31.58.77.174:443#LV [182.93ms]
195.123.210.184:8443#LV [186.97ms]
195.123.209.103:8443#LV [186.97ms]
94.232.43.53:2083#LV [187.99ms]
31.57.29.8:443#LV [190.52ms]
31.58.77.150:443#LV [191.1ms]
195.20.208.4:443#LV [191.41ms]
195.123.209.7:8443#LV [200.45ms]
185.237.219.224:2087#LV [203.73ms]
31.59.102.96:8443#LV [213.07ms]
194.180.191.123:443#MD [218.25ms]
94.158.246.244:443#MD [228.14ms]
94.103.188.145:443#MD [231.46ms]
185.163.45.40:443#MD [233.98ms]
85.120.252.211:443#MD [235.77ms]
217.156.67.86:443#MD [276.65ms]
91.229.239.172:443#MD [286.8ms]
185.216.68.218:8443#MD [289.4ms]
104.128.130.7:443#MD [305.24ms]
185.153.198.86:443#MD [310.22ms]
216.238.79.83:8443#MX [269.37ms]
216.238.86.91:443#MX [272.34ms]
216.238.88.154:8443#MX [283.75ms]
216.238.80.148:8443#MX [285.56ms]
131.196.253.141:443#MX [287.18ms]
159.54.134.203:443#MX [287.19ms]
131.196.254.151:443#MX [287.7ms]
131.196.255.75:443#MX [291.85ms]
23.27.113.128:8443#MY [优选高速 91.03ms]
47.250.212.59:443#MY [214.86ms]
47.250.212.59:2053#MY [214.87ms]
149.118.156.142:443#MY [优选高速 226.0ms]
149.118.131.245:443#MY [优选高速 226.26ms]
163.61.103.239:443#MY [245.66ms]
216.173.67.119:443#MY [298.1ms]
47.250.124.22:443#MY [1191.64ms]
169.255.57.210:443#NG [332.1ms]
87.225.88.81:8443#NL [119.2ms]
188.253.26.73:443#NL [155.75ms]
77.221.155.230:8443#NL [157.6ms]
31.56.222.119:2053#NL [158.69ms]
186.190.213.37:443#NL [159.76ms]
178.173.252.203:443#NL [160.81ms]
31.59.170.59:8443#NL [161.07ms]
31.59.174.9:443#NL [161.6ms]
89.127.211.89:443#NL [161.6ms]
83.147.253.123:443#NL [161.76ms]
194.5.98.17:443#NO [282.85ms]
195.54.170.66:8443#NO [297.84ms]
202.50.55.54:443#NO [301.44ms]
81.29.149.219:8443#NO [305.49ms]
194.5.98.105:2053#NO [308.85ms]
194.68.32.99:443#NO [316.98ms]
194.5.98.105:8443#NO [365.33ms]
38.54.81.111:443#PH [216.47ms]
61.245.10.8:443#PH [288.85ms]
61.245.11.45:443#PH [290.41ms]
91.108.237.23:443#PL [171.52ms]
95.156.204.82:8443#PL [172.79ms]
51.68.141.223:443#PL [174.33ms]
95.156.204.82:443#PL [176.58ms]
57.128.246.84:2087#PL [179.6ms]
54.37.235.201:443#PL [180.9ms]
54.37.139.89:2053#PL [181.62ms]
31.133.0.250:2053#PL [182.14ms]
89.46.235.32:8443#PL [182.21ms]
185.253.44.97:443#PL [182.56ms]
185.138.89.45:2053#PT [363.74ms]
156.244.43.22:443#QA [405.36ms]
45.11.181.161:443#RO [186.68ms]
85.120.229.99:443#RO [193.45ms]
45.136.199.148:443#RO [211.62ms]
72.5.43.52:443#RO [214.24ms]
185.225.17.13:443#RO [239.24ms]
85.120.228.76:443#RO [244.72ms]
193.201.82.144:443#RO [246.55ms]
176.97.76.48:8443#RO [248.57ms]
154.43.62.76:443#RO [276.42ms]
81.181.166.197:443#RO [290.59ms]
38.180.100.80:443#RS [197.5ms]
87.121.38.57:443#RS [204.28ms]
185.48.250.175:443#RS [206.1ms]
185.48.250.138:443#RS [220.79ms]
109.93.20.106:443#RS [224.83ms]
185.209.85.248:443#RU [139.1ms]
77.223.96.12:443#RU [148.36ms]
46.29.118.247:8443#RU [149.36ms]
89.127.197.225:443#RU [152.84ms]
185.170.10.35:443#RU [157.71ms]
188.246.226.106:8443#RU [158.18ms]
91.218.247.99:443#RU [158.54ms]
31.129.48.222:2053#RU [158.66ms]
91.243.86.65:443#RU [159.49ms]
95.213.226.60:443#RU [159.89ms]
91.186.216.59:443#SE [179.08ms]
62.182.194.151:443#SE [182.13ms]
91.184.240.196:443#SE [182.74ms]
62.182.193.24:443#SE [186.98ms]
83.147.254.102:443#SE [187.02ms]
62.182.196.230:8443#SE [187.67ms]
91.186.217.94:443#SE [188.08ms]
89.125.243.165:443#SE [188.39ms]
77.110.97.230:443#SE [188.54ms]
94.242.59.31:443#SE [189.03ms]
43.133.61.219:443#SG [115.71ms]
43.156.181.203:443#SG [117.02ms]
43.156.116.194:443#SG [121.21ms]
45.127.35.143:443#SG [121.63ms]
150.109.11.223:443#SG [129.1ms]
45.77.36.196:443#SG [180.3ms]
45.76.158.201:8443#SG [187.54ms]
139.180.220.7:443#SG [190.15ms]
45.77.254.160:8443#SG [优选高速 191.31ms]
140.245.54.99:2053#SG [191.72ms]
91.242.163.179:2053#SK [286.83ms]
37.9.171.189:443#SK [301.48ms]
91.242.163.179:8443#SK [327.23ms]
45.150.128.159:443#TH [160.67ms]
43.133.110.81:443#TH [210.87ms]
143.14.11.61:443#TH [237.11ms]
8.213.199.128:443#TH [266.11ms]
43.229.132.106:443#TH [273.61ms]
45.154.24.235:443#TH [279.12ms]
117.18.127.43:443#TH [281.35ms]
165.101.65.72:443#TH [282.13ms]
157.85.105.126:443#TH [288.57ms]
157.85.101.45:443#TH [291.17ms]
176.42.68.134:2087#TR [193.47ms]
84.51.54.101:2053#TR [205.73ms]
130.94.1.150:443#TR [209.33ms]
176.42.68.134:2053#TR [209.87ms]
194.135.34.198:443#TR [216.01ms]
193.124.45.102:2053#TR [216.41ms]
138.249.20.76:443#TR [218.34ms]
195.16.74.73:443#TR [246.01ms]
45.89.52.247:443#TR [254.68ms]
167.104.219.129:2053#TR [262.53ms]
125.228.236.138:443#TW [优选高速 87.76ms]
188.253.6.209:443#TW [328.6ms]
188.253.6.173:443#TW [330.92ms]
188.253.6.136:443#TW [342.18ms]
91.218.212.223:443#UA [236.92ms]
91.238.105.102:443#UA [261.94ms]
147.78.3.96:443#UA [322.97ms]
141.105.130.102:443#UA [380.58ms]
31.58.50.143:8443#US [159.62ms]
38.55.108.59:8443#US [160.3ms]
103.152.113.60:8443#US [161.77ms]
103.152.113.60:443#US [163.69ms]
31.58.50.110:2053#US [163.89ms]
31.58.50.143:2053#US [164.96ms]
185.218.16.38:443#US [165.3ms]
193.17.180.171:443#US [165.56ms]
130.12.47.161:8443#US [167.64ms]
31.58.50.110:8443#US [167.7ms]
45.138.158.191:443#UZ [351.11ms]
157.22.128.7:443#UZ [363.88ms]
195.242.118.15:443#VG [294.82ms]
195.242.118.18:443#VG [333.09ms]
161.248.31.198:443#VN [97.98ms]
103.199.18.23:443#VN [205.02ms]
102.223.74.126:443#ZA [311.19ms]
84.8.137.211:443#ZA [342.65ms]
156.38.157.171:8443#ZA [384.17ms]
156.38.157.171:2053#ZA [389.76ms]
84.8.142.203:443#ZA [404.57ms]
139.84.244.9:443#ZA [411.34ms]
38.54.64.204:443#ZA [417.52ms]
139.84.235.99:443#ZA [434.15ms]
139.84.230.41:443#ZA [459.36ms]
