213.21.222.110:443#LV [241.77ms]
31.56.27.137:8443#LV [242.33ms]
31.128.33.253:443#LV [243.21ms]
31.56.117.64:443#LV [243.33ms]
185.82.126.184:2053#LV [244.44ms]
195.123.212.222:2053#LV [244.87ms]
195.123.212.222:8443#LV [244.88ms]
31.57.29.8:443#LV [245.34ms]
217.60.2.148:2053#LV [246.08ms]
31.56.117.15:443#LV [246.31ms]
45.67.229.8:443#MD [247.24ms]
193.36.38.17:443#MD [259.28ms]
80.96.113.183:443#MD [271.38ms]
91.229.239.172:443#MD [288.76ms]
193.42.108.114:443#MD [289.0ms]
194.48.248.157:443#MD [294.38ms]
91.208.162.68:443#MD [317.45ms]
45.86.86.53:443#MD [318.91ms]
91.208.206.103:443#MD [319.04ms]
217.156.65.142:443#MD [323.41ms]
45.83.141.93:443#MK [241.59ms]
89.185.82.38:8443#MK [251.54ms]
89.185.82.90:8443#MK [283.64ms]
195.144.24.34:443#MK [318.59ms]
45.202.246.172:443#MO [369.55ms]
216.238.88.154:8443#MX [245.58ms]
216.238.82.140:8443#MX [252.15ms]
216.238.79.83:8443#MX [254.54ms]
216.238.80.148:8443#MX [256.27ms]
45.170.244.62:443#MX [1280.39ms]
96.126.190.196:443#MY [85.33ms]
202.184.108.239:8443#MY [254.48ms]
38.54.112.233:443#MY [286.1ms]
45.89.107.78:2053#MY [364.23ms]
45.89.107.146:443#MY [379.53ms]
213.188.223.161:443#NL [186.1ms]
51.15.105.75:2053#NL [198.88ms]
51.158.244.90:2053#NL [201.77ms]
207.174.30.69:443#NL [203.19ms]
152.53.200.78:8443#NL [205.67ms]
93.113.171.181:443#NL [207.09ms]
152.53.200.51:8443#NL [207.22ms]
78.142.195.227:443#NL [208.56ms]
198.105.112.47:443#NL [208.94ms]
45.87.107.158:443#NL [212.41ms]
194.5.98.17:443#NO [284.77ms]
194.5.98.105:2053#NO [304.78ms]
194.5.98.105:8443#NO [305.75ms]
38.54.87.66:443#PH [262.34ms]
195.86.215.26:443#PH [1305.42ms]
31.133.0.45:2053#PL [215.61ms]
212.119.43.76:443#PL [216.92ms]
31.133.0.49:2053#PL [220.61ms]
217.182.79.214:443#PL [225.14ms]
45.149.63.149:443#PL [230.73ms]
31.133.0.135:2053#PL [231.17ms]
51.83.167.125:443#PL [232.62ms]
37.252.6.119:443#PL [234.99ms]
